equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,defected and captured,destroyed,destroyed in a non-combat related incident,sunk
Surface-To-Air Missile Systems,Pongae M-2020,,North Korea,1,,,,,,1.0,,,,,,,
Surface-To-Air Missile Systems,Unknown Tor TLAR,,Russia,7,,,,,,4.0,,,,,3.0,,
Surface-To-Air Missile Systems,Pantsir-S1,,Russia,33,,1.0,2.0,,,4.0,,,,,26.0,,
Surface-To-Air Missile Systems,5P85SD/SM (launcher for S-300 PMU(-1)),,the Soviet Union,3,,,,,,,,,,,3.0,,
Surface-To-Air Missile Systems,9A83M2 TELAR (for S-300V4),,Russia,5,,,,,,,,,,,5.0,,
Surface-To-Air Missile Systems,9A84-2 TEL (for S-300V4),,Russia,2,,,,,,,,,,,2.0,,
Surface-To-Air Missile Systems,9A85-2 transloader (for S-300V4),,Russia,1,,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,50P6E TEL (for S-350),,Russia,1,,,,,,1.0,,,,,,,
Surface-To-Air Missile Systems,5P85T2 (launcher for S-400),,Russia,1,,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,5P85SM2-01 (launcher for S-400),,Russia,11,,,,,,,,,,,11.0,,
Surface-To-Air Missile Systems,51P6 TEL (launcher for 40R6 S-400 'Triumf'),,Russia,1,,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,Launcher for S-300 or S-400,,Russia,1,,,,,,1.0,,,,,,,
Surface-To-Air Missile Systems,Launcher for S-400,,Russia,4,,,,,,,,,,,4.0,,
Surface-To-Air Missile Systems,Unknown SAM system,,Russia,1,,,,,,,,,,,1.0,,
Radars,9S36 (for Buk-M2),,Russia,6,,,1.0,,,1.0,,,,,4.0,,
Radars,9S18 Kupol (for Buk-M1-2/M2),,Russia,3,,,,,,1.0,,,,,2.0,,
Radars,9S18М1(-2) (for Buk-M2),,Russia,1,,,1.0,,,,,,,,,,
Radars,9S18М1(-3) (for Buk-M3),,Russia,1,,,,,,,,,,,1.0,,
Radars,9S36M (for Buk-M3),,Russia,5,,,,,,,,,,,5.0,,
Radars,9S32M1 (for S-300V),,Russia,2,,,,,,2.0,,,,,,,
Radars,9S19M2 (for S-300V),,Russia,1,,,,,,1.0,,,,,,,
Radars,5N63S “Flap Lid B” engagement and tracking radar of the S-300,,the Soviet Union,2,,,,,,,,,,,2.0,,
Radars,91N6A surveillance and tracking radar (for 40R6 S-400 'Triumf'),,Russia,1,,,,,,1.0,,,,,,,
Radars,92N6A engagement radar (for S-400),,Russia,5,,,,,,2.0,,,,,3.0,,
Radars,96L6-TsP acquisition radar (for S-400/S-500),,Russia,4,,,,,,,,,,,4.0,,
Radars,PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10),,Russia,2,,,1.0,,,,,,,,1.0,,
Radars,Repeynik portable counter-UAS radar,,Russia,1,,,,,,,,,,,1.0,,
Radars,Fara ground surveillance radar,,Russia,4,,,3.0,,,,,,,,1.0,,
Radars,1L271 Aistyonok portable mortar locating reconnaissance radar,,Russia,3,,,1.0,,,,,,,,2.0,,
Radars,Sobolyatnik 1L277 portable ground reconnaissance radar,,Russia,1,,,,,,,,,,,1.0,,
Radars,SNAR-10M1 battlefield surveillance radar,,Russia,5,,,1.0,,,2.0,,,,,2.0,,
Radars,1L259 (for Zoopark-1 counter-battery radar complex),,Russia,8,,,,,,3.0,,,,,5.0,,
Radars,1L261 (for 1L260 Zoopark-1M counter-battery radar complex),,Russia,16,,,2.0,,,6.0,,,,,8.0,,
Radars,P-18T surveillance radar,,Russia,1,,,,,,,,,,,1.0,,
Radars,P-18-2 2D VHF surveillance radar,,Russia,4,,,,,,,,,,,4.0,,
Radars,1RL131-2 P-18-2 'Prima' early warning radar,,Russia,1,,,,,,,,,,,1.0,,
Radars,48Ya6-K1 Podlet-K1 low-altitude S-band surveillance radar,,Russia,6,,,,,,3.0,,,,,3.0,,
Radars,1L119 Nebo-SVU VHF multi-functional radar,,Russia,3,,,,,,1.0,,,,,2.0,,
Radars,55Zh6U Nebo-U air surveillance radar,,Russia,2,,,,,,2.0,,,,,,,
Radars,1RL239 Ark-1(M) counter-battery radar,,the Soviet Union,1,,,,,,,,,,,1.0,,
Radars,36D6 ST-68U surveillance radar,,the Soviet Union,1,,,,,,1.0,,,,,,,
Radars,"1K148 ""Yastreb-AV"" artillery reconnaissance complex",,Russia,5,,,,,,1.0,,,,,4.0,,
Radars,Predel coastal defence radar,,Russia,1,,,,,,,,,,,1.0,,
Radars,Antenna vehicle (for 51U6 'Kasta-2E1' surveillance radar,,Russia,1,,,,,,,,,,,1.0,,
Radars,Antenna vehicle based on Ural-4320 for 35N6 'Kasta' surveillance radar,,Russia,1,,,,,,,,,,,1.0,,
Radars,Early warning SHF radar Voronezh DM,,Russia,2,,,,,,2.0,,,,,,,
Radars,39N6 'Kasta-2E2' surveillance radar,,Russia,1,,,,,,1.0,,,,,,,
Radars,1B44-1 (for RPMK-1 'Ulybka' radiosonde weather radar),,Russia,1,,,,,,,,,,,1.0,,
Radars,Unknown radar,,Russia,3,,,,,,,,,,,3.0,,
Jammers And Deception Systems,R-325BMV jamming station,,Russia,1,,,,,,,,,,,1.0,,
Jammers And Deception Systems,R-330BMV jamming station (for Borisoglebsk-2),,Russia,10,,,1.0,,,,,,,,9.0,,
Jammers And Deception Systems,R-330BMV and R-394BMV Borisoglebsk-2B,,Russia,9,,,1.0,,,2.0,,,,,6.0,,
Jammers And Deception Systems,R-330ZH Zhitel,,Russia,23,,,,,,5.0,,,,,18.0,,
Jammers And Deception Systems,R-330M1P Diabazol,,Russia,1,,,,,,,,,,,1.0,,
Jammers And Deception Systems,R-934UM,,Russia,1,,,,,,,,,,,1.0,,
Jammers And Deception Systems,R-934B 'Sinitsa' automated jamming station,,Russia,10,,,,,,2.0,,,,,8.0,,
Jammers And Deception Systems,1L262E Rtut-BM,,Russia,1,,,,,,,,,,,1.0,,
Jammers And Deception Systems,Support vehicle (for 'Torn(-MDM)' signals intelligence system),,Russia,1,,,1.0,,,,,,,,,,
Jammers And Deception Systems,Command post (for 'Torn(-MDM)' signals intelligence system),,Russia,1,,,1.0,,,,,,,,,,
Jammers And Deception Systems,Silok-01 counter-UAV system,,Russia,5,,,1.0,,,1.0,,,,,3.0,,
Jammers And Deception Systems,Strizh-3 counter-UAV system,,Russia,1,,,,,,,,,,,1.0,,
Jammers And Deception Systems,1RL257 Krasukha-4 (command post),,Russia,1,,,1.0,,,,,,,,,,
Jammers And Deception Systems,Leer-2 electronic warfare system,,Russia,6,,,,,,1.0,,,,,5.0,,
Jammers And Deception Systems,Leer-3 electronic warfare system,,Russia,3,,,2.0,,,,,,,,1.0,,
Jammers And Deception Systems,RLK-MC-A (ROSC-1) counter-UAV system,,Russia,2,,,,,,,,,,,2.0,,
Jammers And Deception Systems,RB-636 Svet-KU EW system,,Russia,2,,,1.0,,,1.0,,,,,,,
Jammers And Deception Systems,RB-636AM2 Svet-KU EW system,,Russia,3,,,,,,1.0,,,,,2.0,,
Jammers And Deception Systems,Palantin EW system,,Russia,3,,,,,,,,,,,3.0,,
Jammers And Deception Systems,RP-377LA Lorandit,,Russia,2,,,,,,,,,,,2.0,,
Jammers And Deception Systems,RB-109A Bylina EW system,,Russia,1,,,,,,,,,,,1.0,,
Jammers And Deception Systems,Sapfir anti-drone system,,Russia,1,,,,,,,,,,,1.0,,
Jammers And Deception Systems,Unknown EW system,,Russia,3,,,,,,,,,,,3.0,,
Aircraft,MiG-31BM fighter aircraft,,Russia,3,,,,,,,,,,,2.0,1.0,
Aircraft,Su-25 close air support aircraft,,the Soviet Union,41,,,,,,2.0,,,2.0,,34.0,3.0,
Aircraft,Su-24M strike aircraft,,the Soviet Union,3,,,,,,,,,,,2.0,1.0,
Aircraft,Su-24MR tactical reconnaissance aircraft,,the Soviet Union,1,,,,,,,,,,,1.0,,
Aircraft,Su-24M/MR strike/tactical reconnaissance aircraft,,the Soviet Union,10,,,,,,2.0,,,1.0,,6.0,1.0,
Aircraft,Su-27 strike aircraft,,the Soviet Union,3,,,,,,1.0,,,,,2.0,,
Aircraft,Su-30SM multirole aircraft,,Russia,13,,,,,,,,,1.0,,12.0,,
Aircraft,Su-34 strike aircraft,,Russia,37,,,,,,5.0,,,,,28.0,4.0,
Aircraft,Su-34M strike aircraft,,Russia,1,,,,,,,,,,,1.0,,
Aircraft,Su-35S multirole aircraft,,Russia,8,,,,,,,,,,,8.0,,
Aircraft,Su-57 Stealth multirole fighter,,Russia,1,,,,,,1.0,,,,,,,
Aircraft,Unknown fighter jet,,Russia,3,,,,,,1.0,,,,,2.0,,
Aircraft,Tu-22M3 strategic bomber,,the Soviet Union,11,,,,,,3.0,,,,,8.0,,
Aircraft,Tu-95MS strategic bomber,,the Soviet Union,9,,,,,,2.0,,,,,7.0,,
Aircraft,Il-22 airborne command post,,the Soviet Union,3,,,,,,1.0,,,1.0,,1.0,,
Aircraft,Beriev A-50,,the Soviet Union,2,,,,,,,,,,,2.0,,
Aircraft,Beriev Be-200 amphibious flying boat,,Russia,1,,,,,,1.0,,,,,,,
Aircraft,An-12 transport aircraft,,the Soviet Union,1,,,,,,,,,,,1.0,,
Aircraft,An-26 transport aircraft,,the Soviet Union,1,,,,,,,,,,,,1.0,
Aircraft,Il-76 transport aircraft,,the Soviet Union,6,,,,,,1.0,,,2.0,,3.0,,
Helicopters,Mi-8 transport helicopter,,Russia,43,,1.0,,,,11.0,,,1.0,1.0,28.0,1.0,
Helicopters,Mi-8MTPR-1 electronic warfare helicopter,,Russia,6,,,,,,1.0,,,,,5.0,,
Helicopters,Mi-24P attack helicopter,,the Soviet Union,4,,,,,,,,,,,4.0,,
Helicopters,Mi-24V/P/35M attack helicopter,,Russia,4,,,,,,2.0,,,,,2.0,,
Helicopters,Mi-28 attack helicopter,,Russia,17,,,,,,4.0,,,1.0,,12.0,,
Helicopters,Ka-29 naval attack helicopter,,the Soviet Union,1,,,,,,,,,,,1.0,,
Helicopters,Mi-35M attack helicopter,,Russia,10,,,,,,1.0,,,,,9.0,,
Helicopters,Ka-52 Alligator attack helicopter,,Russia,64,,2.0,,,,13.0,,1.0,,,47.0,1.0,
Helicopters,Unknown helicopter,,Russia,7,,,,,,,,,,,7.0,,
Unmanned Combat Aerial Vehicles,Orion,,Russia,9,,,,,,,,,,,9.0,,
Unmanned Combat Aerial Vehicles,Korsar,,Russia,1,,,,,,,,,,,1.0,,
Unmanned Combat Aerial Vehicles,Forpost-RU,,Russia,1,,,,,,,,,,,1.0,,
Unmanned Combat Aerial Vehicles,Mohajer-6,,Iran,3,,,,,,1.0,,,,,2.0,,
Unmanned Combat Aerial Vehicles,Orlan-10 UCAV,,Russia,3,,,2.0,,,,,,,,1.0,,
Unmanned Combat Aerial Vehicles,Eleron T-16,,Russia,1,,,1.0,,,,,,,,,,
Unmanned Combat Aerial Vehicles,Sukhoi S-70 Okhotnik-B,,Russia,1,,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Forpost,,Israel,5,,,,,,,,,,,4.0,1.0,
Reconnaissance Unmanned Aerial Vehicles,Orlan-10,,Russia,208,,,84.0,,,,,,,,124.0,,
Reconnaissance Unmanned Aerial Vehicles,Orlan-10 jamming UAV,,Russia,7,,,4.0,,,,,,,,3.0,,
Reconnaissance Unmanned Aerial Vehicles,Ptero-G0 'Kartograf',,Russia,20,,,3.0,,,,,1.0,,,16.0,,
Reconnaissance Unmanned Aerial Vehicles,Orlan-30,,Russia,22,,,10.0,,,,,,,,12.0,,
Reconnaissance Unmanned Aerial Vehicles,Granat-3,,Russia,1,,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Granat-4,,Russia,9,,,3.0,,,,,,,,6.0,,
Reconnaissance Unmanned Aerial Vehicles,Eleron-3,,Russia,38,,,24.0,,,,,,,,14.0,,
Reconnaissance Unmanned Aerial Vehicles,Eleron-3SV,,Russia,1,,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Eleron-10,,Russia,4,,,3.0,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Eleron T28ME,,Russia,17,,,10.0,,,,,,,,7.0,,
Reconnaissance Unmanned Aerial Vehicles,Takhion,,Russia,7,,,5.0,,,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,ZALA Z-16 (421-16Е),,Russia,168,1.0,,37.0,,,,,,,,130.0,,
Reconnaissance Unmanned Aerial Vehicles,ZALA 421-16ЕM,,Russia,2,,,2.0,,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,ZALA Z-20,,Russia,2,,,,,,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,Merlin-VR,,Russia,12,,,6.0,,,,,,,,6.0,,
Reconnaissance Unmanned Aerial Vehicles,Lastochka-M,,Russia,1,,,1.0,,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Supercam S150,,Russia,1,,,1.0,,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Supercam S350,,Russia,101,,,41.0,,,,,,,,60.0,,
Reconnaissance Unmanned Aerial Vehicles,'Albatros' M5 reconnaissance UAV,,Russia,2,,,1.0,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,SKAT 350M,,Russia,12,,,5.0,,,,,,,,7.0,,
Reconnaissance Unmanned Aerial Vehicles,Grifon-12,,Russia,1,,,1.0,,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Feniks,,Russia,15,,,8.0,,,,,,,,7.0,,
Naval Ships and Submarines,Project 1164 Slava-class guided missile cruiser,Moskva,the Soviet Union,1,,,,,,,,,,,,,1.0
Naval Ships and Submarines,Project 22800 Karakurt-class corvette,B-801 'Tsiklon',Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 22800 Karakurt-class corvette,B-802 'Askold',Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 636.3 Improved Kilo-class submarine,B-237 'Rostov-na-Donu',Russia,1,,,,,,,,,1.0,,,,
Naval Ships and Submarines,Project 03160 Raptor-class patrol boat,,Russia,5,,,,,,2.0,,,,,3.0,,
Naval Ships and Submarines,Project 02510 BK-16E high-speed assault boat,,Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 640 small patrol boat,,Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 1171 Tapir-class landing ship,BDK-65 'Saratov',the Soviet Union,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 775 Ropucha-class landing ship,'Minsk',Poland,1,,,,,,,,,1.0,,,,
Naval Ships and Submarines,Project 775 Ropucha-class landing ship,BDK-46 'Novocherkassk',Poland,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 775 Ropucha-class landing ship,BDK-64 'Caesar Kunikov',Poland,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 11770 Serna-class landing craft,,Russia,2,,,,,,1.0,,,,,1.0,,
Naval Ships and Submarines,Project 1176 Ondatra-class landing craft,,the Soviet Union,1,,,,,,1.0,,,,,,,
Naval Ships and Submarines,Project 22870 rescue tug,SB-739 V'asily Bekh',Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 266M Natya-class minesweeper,,the Soviet Union,1,,,,,,1.0,,,,,,,
Naval Ships and Submarines,Project 12411 Tarantul-III-class corvette,Ivanovets,the Soviet Union,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 22160 large patrol boat,Sergey Kotov,Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Stenka-class patrol boat,,the Soviet Union,1,,,,,,1.0,,,,,,,
Naval Ships and Submarines,Project KS-701 'Tunets' coast guard patrol boat,,Russia,3,,,,,,,,,,,3.0,,
Naval Ships and Submarines,Project 18280 'Yuri Ivanov' class reconnaissance ship,Ivan Khurs,Russia,1,,,,,,1.0,,,,,,,
Naval Ships and Submarines,T-43 class training vessel,UTS-150,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",GAZ-51,,the Soviet Union,1,,,1.0,,,,,,,,,,
"Trucks, Vehicles, Jeeps, and Trains",GAZ-66,,the Soviet Union,86,,,13.0,,,,1.0,,,,72.0,,
"Trucks, Vehicles, Jeeps, and Trains",GAZ-3308,,Russia,31,2.0,,4.0,,,1.0,,,,,24.0,,
"Trucks, Vehicles, Jeeps, and Trains",GAZ Sobol,,Russia,3,1.0,,,,,,,,,,2.0,,
"Trucks, Vehicles, Jeeps, and Trains",GAZ-S41A23 'Sadko Next',,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",KrAZ-255B,,the Soviet Union,9,,,1.0,,,1.0,,,,,7.0,,
"Trucks, Vehicles, Jeeps, and Trains",KrAZ-255B tanker,,the Soviet Union,11,,,,,,,,1.0,,,10.0,,
"Trucks, Vehicles, Jeeps, and Trains",KrAZ-260,,the Soviet Union,3,,,,,,,,,,,3.0,,
"Trucks, Vehicles, Jeeps, and Trains",KrAZ-260 tanker,,the Soviet Union,9,,,1.0,,,1.0,,,,,7.0,,
"Trucks, Vehicles, Jeeps, and Trains",ZiL-130,,the Soviet Union,2,,,,,,,,,,,2.0,,
"Trucks, Vehicles, Jeeps, and Trains",ZiL-131,,the Soviet Union,65,,,6.0,,,1.0,1.0,1.0,,,56.0,,
"Trucks, Vehicles, Jeeps, and Trains",ZiL-131 tanker,,the Soviet Union,6,,,1.0,,,,,,,,5.0,,
"Trucks, Vehicles, Jeeps, and Trains",2F77M transloading vehicle for 2K22M Tunguska-M,,Russia,1,,,,,,,,1.0,,,,,
"Trucks, Vehicles, Jeeps, and Trains",2F510 transport vehicle for 2S12 'Sani' mortar on Ural-43206 chassis,,Russia,11,,,,,,,,,,,11.0,,
"Trucks, Vehicles, Jeeps, and Trains",9T217 transloader (for 9K33 Osa),,the Soviet Union,5,,,2.0,,,,,,,,3.0,,
"Trucks, Vehicles, Jeeps, and Trains",9T244 transloader (for 9A330/1 Tor),,Russia,8,,,,,,,,2.0,,,6.0,,
"Trucks, Vehicles, Jeeps, and Trains",BAZ-69092 (for S-400),,Russia,3,,,,,,1.0,,,,,2.0,,
"Trucks, Vehicles, Jeeps, and Trains",APA-80 engine starting vehicle,,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",APA-5D airfield starter vehicle,,the Soviet Union,2,,,,,,,,,,,2.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-375D,,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-375D tanker,,the Soviet Union,1,,,1.0,,,,,,,,,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-4320,,Russia,1203,12.0,,140.0,,,29.0,4.0,12.0,,,1006.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-4320 DKZ,,Russia,6,,,2.0,,,,,,,,4.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-4320 tanker,,Russia,188,1.0,,65.0,,,1.0,,2.0,,,119.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural Avtozaks,,Russia,8,,,1.0,,,,,,,,7.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-43206,,Russia,192,1.0,,37.0,,,5.0,3.0,2.0,,,144.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural Federal,,Russia,23,,,6.0,,,,,,,,17.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-5323,,Russia,5,,,2.0,,,,,,,,3.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-532301 with armoured cabin,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",Mobile field bathhouse PPB-32VU based on the Ural-53236,,Russia,2,,,1.0,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",PAK-200(M) mobile field kitchen based on Ural-4320,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",PAK-200(M) mobile field kitchen based on KamAZ 6x6,,Russia,4,,,1.0,,,,,,,,3.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-6370-0121-30,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-63704-0010 Tornado-U,,Russia,39,1.0,,5.0,,,1.0,,1.0,,,31.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-542301 tank transporter,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",Ural-63501-AT,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",MAZ-537,,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",MAZ-5337 fuel tanker,,the Soviet Union,2,,,,,,,,1.0,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",MAZ TZ-500 tanker,,the Soviet Union,3,,,,,,,,,,,3.0,,
"Trucks, Vehicles, Jeeps, and Trains",MAZ-531605,,Belarus,2,,,,,,,,,,,2.0,,
"Trucks, Vehicles, Jeeps, and Trains",MAZ 531605 tanker,,Belarus,5,,,,,,,,,,,5.0,,
"Trucks, Vehicles, Jeeps, and Trains",MAZ-63172,,Belarus,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ 4x4,,Russia,41,1.0,,4.0,,,1.0,,,,,35.0,,
"Trucks, Vehicles, Jeeps, and Trains",AS-4350 medical vehicle,,Russia,15,,,3.0,,,,,,,,12.0,,
"Trucks, Vehicles, Jeeps, and Trains",AS-4350.1 medical vehicle,,Russia,5,,,1.0,,,,,,,,4.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ 6x4,,Russia,5,,,2.0,,,,,,,,3.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ 6x6,,Russia,1135,10.0,,131.0,,,24.0,3.0,21.0,,,946.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ 6x6 tanker,,Russia,151,,,28.0,,,6.0,,2.0,,,115.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ-4385,,Russia,3,,,,,,,1.0,,,,2.0,,
"Trucks, Vehicles, Jeeps, and Trains",AP-2 mobile emergency room based on KamAZ 6x6,,Russia,2,,,2.0,,,,,,,,,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ Avtozaks,,Russia,21,1.0,,4.0,,,,,,,,16.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ 6x6 with armoured cabin,,Russia,20,,,6.0,,,2.0,,,,,12.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ with MM-501 armoured cabin,,Russia,34,2.0,,8.0,,,1.0,,1.0,,,22.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ 8x8,,Russia,20,,,5.0,,,,,,,,15.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ 8x8 tanker,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ 8x8 with armoured cabin,,Russia,12,,,,,,,,,,,12.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ-6350 8x8 artillery tractor,,Russia,18,,,,,,2.0,,,,,16.0,,
"Trucks, Vehicles, Jeeps, and Trains",ATS-59G artillery tractor,,Russia,3,,,,,,,,,,,3.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ-65117,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ low-loader,,Russia,8,,,,,,1.0,,,,,7.0,,
"Trucks, Vehicles, Jeeps, and Trains",KamAZ 'Gorets' 3958,,Russia,2,,,,,,,,1.0,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-469 jeep,,the Soviet Union,41,1.0,,11.0,,,1.0,,3.0,,,25.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-469RKh(B) CBRN reconnaissance and decontamination vehicle,,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-452 van,,the Soviet Union,129,1.0,,10.0,,,7.0,3.0,4.0,,,104.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-3303,,the Soviet Union,12,,,1.0,,,1.0,,,,,10.0,,
"Trucks, Vehicles, Jeeps, and Trains",LuAZ-969,,the Soviet Union,4,,,,,,,,1.0,,,3.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ Patriot jeep,,Russia,7,,,1.0,,,1.0,,,,,5.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-3151,,Russia,2,,,,,,,,,,,2.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-3153,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-31514,,Russia,1,,,1.0,,,,,,,,,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-23632 pickup truck,,Russia,12,,,3.0,,,2.0,,,,,7.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-23632-148-64 armed pickup truck,,Russia,9,,,,,,,,,,,9.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-394511 ‘Esaul’,,Russia,6,,,,,,1.0,,2.0,,,3.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-515195 'Esaul',,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, Jeeps, and Trains",UAZ-39094,,Russia,27,,,1.0,,,,,1.0,,,25.0,,
"Trucks, Vehicles, Jeeps, and Trains",BARS WTS001 pickup truck,,the People%27s Republic of China,1,,,1.0,,,,,,,,,,
"Trucks, Vehicles, Jeeps, and Trains",Unknown fuel tanker,,Russia,6,,,,,,,,,,,6.0,,
"Trucks, Vehicles, Jeeps, and Trains",fuel train tanks(s),,Russia,7,,,,,,,,,,,7.0,,
"Trucks, Vehicles, Jeeps, and Trains",(Unknown) truck,,Russia,275,1.0,,10.0,1.0,,9.0,4.0,,,,250.0,,
"Trucks, Vehicles, Jeeps, and Trains",(Unknown) vehicle,,Russia,63,,,,,,6.0,,,,,57.0,,
